Nome;Partido;UF;Ativo
Telmário Mota;PROS;RR;Sim
Vanderlan Cardoso;PSD;GO;Sim
Veneziano Vital do Rêgo;MDB;PB;Sim
Wellington Fagundes;PL;MT;Sim
Weverton;PDT;MA;Sim
Zenaide Maia;PROS;RN;Sim
Zequinha Marinho;PL;PA;Sim
AECIO NEVES;PSDB;MG;Nao
ANGELA PORTELA;PDT;CE;Nao
ARMANDO MONTEIRO;PTB;PE;Nao
BENEDITO DE LIRA;PROGRESSISTAS;AL;Nao
CIRO NOGUEIRA;PROGRESSISTAS;PI;Nao
FLEXA RIBEIRO;PSDB;PA;Nao
GUARACY SILVEIRA;PSL;SP;Nao
JOAO ALBERTO SOUZA;MDB;MA;Nao
JOSE AGRIPINO;DEM;RN;Nao
JUIZA SELMA;PODEMOS;RS;Nao
LUIZ PASTORE;MDB;SP;Nao
PAULO ALBUQUERQUE;PSD;AP;Nao
PEDRO CHAVES DOS SANTOS FILHO;REPUBLICANOS;MS;Nao
RENILDE BULHOES;PROS;AL;Nao
ROMERO JUCA;MDB;PE;Nao
VANESSA GRAZZIOTIN;PCdoB;SC;Nao
WALTER PINHEIRO;PT;BA;Nao
ZEZE PERRELLA;MDB;MG;Nao
CHIQUINHO FEITOSA;DEM;CE;Nao
MARIA ELIZA DE AGUIAR E SILVA;MDB;PR;Nao
VIRGINIO DE CARVALHO;DEM;SE;Nao
ALOYSIO NUNES FERREIRA;PSDB;SP;Nao
ANTONIO ANASTASIA;PSD;MG;Nao
AROLDE DE OLIVEIRA;PSC;RJ;Nao
BLAIRO MAGGI;PROGRESSISTAS;RS;Nao
DALIRIO BEBER;PSDB;SC;Nao
GARIBALDI ALVES FILHO;MDB;RN;Nao
HELIO JOSE;PROS;GO;Nao
JOAO CAPIBERIBE;PSB;PA;Nao
JOSE MARANHAO;MDB;PB;Nao
LIDICE DA MATA;PSB;BA;Nao
MAGNO MALTA;PL;RJ;Nao
PAULO BAUER;PSDB;SC;Nao
PRISCO BEZERRA;PDT;CE;Nao
RICARDO FERRACO;PSDB;ES;Nao
SIQUEIRA CAMPOS;DEM;TO;Nao
VICENTINHO ALVES;PL;TO;Nao
WEVERTON ROCHA;PDT;MA;Nao
DIEGO TAVARES;PP;PB;Nao
JOSE ANIBAL;PSDB;SP;Nao
NAILDE PANTA;PROGRESSISTAS;PB;Nao
ZE SANTANA;MDB;MA;Nao
ANA AMELIA;PROGRESSISTAS;RS;Nao
ANTONIO CARLOS VALADARES;PSB;SE;Nao
ATAIDES OLIVEIRA;PSDB;GO;Nao
CASSIO CUNHA LIMA;PSDB;PB;Nao
EDISON LOBAO;MDB;MA;Nao
GLEISI HOFFMANN;PT;PR;Nao
IVO CASSOL;PROGRESSISTAS;SC;Nao
JORGE VIANA;PT;AC;Nao
JOSE MEDEIROS;PL;RN;Nao
LINDBERGH FARIAS;PT;RJ;Nao
MAJOR OLIMPIO;PSL;SP;Nao
RAIMUNDO LIRA;PSD;PB;Nao
ROBERTO REQUIAO;PT;PR;Nao
VALDIR RAUPP;MDB;SC;Nao
WALDEMIR MOKA;MDB;MS;Nao
WILDER MORAIS;PSC;GO;Nao
NEY SUASSUNA;REPUBLICANOS;PB;Nao
EDUARDO AMORIM;PSDB;SE;Nao
JAYME CAMPOS;DEM;MT;Nao
JOSE PIMENTEL;PT;PI;Nao
LUCIA VANIA;PSB;GO;Nao
MARTA SUPLICY;SOLIDARIEDADE;SP;Nao
